Código da IES,Nome da IES,Sigla da IES,Município,UF,Categoria Administrativa,Organização Acadêmica
579,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,JOAO PESSOA,PB,Pública,Universidade
3680,FACULDADE DE TECNOLOGIA DARCY RIBEIRO,FTDR,FORTALEZA,CE,Privada,Faculdade
2687,FACULDADE DOM ALBERTO,FDA,"SANTA CRUZ DOSUL",RS,Privada,Faculdade
1819,FACULDADE FARIAS BRITO,FFB,FORTALEZA,CE,Privada,Faculdade
730,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,PONTA GROSSA,PR,Pública,Universidade
224,FACULDADE DE MEDICINA DO ABC,FMABC,SANTO ANDRE,SP,Privada,Faculdade
2043,FACULDADE VALE DO SALGADO,FVS,ICO,CE,Privada,Faculdade
578,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,SALVADOR,BA,Pública,Universidade
2753,FACULDADE DE CIÊNCIAS EDUCACIONAIS DE CAPIM GROSSO,FCG,CAPIM GROSSO,BA,Privada,Faculdade
852,FACULDADE DE INFORMÁTICA E ADMINISTRAÇÃO PAULISTA,FIAP,SAO PAULO,SP,Privada,Faculdade
1264,CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE,UNI-RN,NATAL,RN,Privada,Centro Universitário
4358,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",IF SUL DE MINAS,POUSO ALEGRE,MG,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
2560,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,FAESF/UNEF,FEIRA DE SANTANA,BA,Privada,Faculdade
4820,FACULDADE DE TECNOLOGIA SENAI ANTÔNIO ADOLPHO LOBBE,,SAO CARLOS,SP,Privada,Faculdade
373,ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO,ESP,SAO PAULO,SP,Privada,Faculdade
322,UNIVERSIDADE PAULISTA,UNIP,SAO PAULO,SP,Privada,Universidade
3878,FACULDADE DECISION DE NEGÓCIOS,"FACULDADEDECISION",PORTO ALEGRE,RS,Privada,Faculdade
877,FACULDADE DE ECONOMIA E PROCESSAMENTO DE DADOS DE FOZ DO IGUAÇU,FEPI,FOZ DO IGUACU,PR,Privada,Faculdade
1196,CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR,UNICESUMAR,MARINGA,PR,Privada,Centro Universitário
5313,FACULDADES UNIFICADAS DE CATAGUASES,FUC,CATAGUASES,MG,Privada,Faculdade
1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,GUARAPUAVA,PR,Pública,Universidade
985,FACULDADE DE CIÊNCIAS E EDUCAÇÃO DE RUBIATABA,FACER,RUBIATABA,GO,Privada,Faculdade
1305,"FACULDADE DE CIÊNCIAS JURÍDICAS, GERENCIAIS E EDUCAÇÃO DE SINOP",FIS,SINOP,MT,Privada,Faculdade
4443,FACULDADE RIO CLARO,,IJUI,RS,Privada,Faculdade
2636,FACULDADE DINÂMICA DO VALE DO PIRANGA,FADIP,PONTE NOVA,MG,Privada,Faculdade
1041,CENTRO UNIVERSITÁRIO UNIVATES,UNIVATES,LAJEADO,RS,Privada,Centro Universitário
790,FACULDADE DE ENFERMAGEM DO HOSPITAL ISRAELITA ALBERT EINSTEIN,FEHIAE,SAO PAULO,SP,Privada,Faculdade
1766,FACULDADE ESPÍRITO SANTENSE,UNICAPE,CARIACICA,ES,Privada,Faculdade
4104,ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO DE SÃO PAULO - ESEG,ESEG,SAO PAULO,SP,Privada,Faculdade
171,FACULDADE DE DIREITO DO SUL DE MINAS,FDSM,POUSO ALEGRE,MG,Privada,Faculdade
431,FACULDADE DE MEDICINA DE MARÍLIA,FAMEMA,MARILIA,SP,Pública,Faculdade
4000,FACULDADE DE ENSINO SUPERIOR DO INTERIOR PAULISTA,FAIP,MARILIA,SP,Privada,Faculdade
2569,FACULDADE DE TECNOLOGIA FAESA,CET-FAESA,VITORIA,ES,Privada,Faculdade
2617,FACULDADE SÃO BENTO DO RIO DE JANEIRO,FSB/RJ,RIO DE JANEIRO,RJ,Privada,Faculdade
572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,NITEROI,RJ,Pública,Universidade
1151,FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS DE SERGIPE,FANESE,ARACAJU,SE,Privada,Faculdade
5322,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,UNIPAMPA,BAGE,RS,Pública,Universidade
1779,FACULDADE AIEC,AIEC / FAAB,BRASILIA,DF,Privada,Faculdade
4113,FACULDADE DE CERES,FACER,CERES,GO,Privada,Faculdade
2264,FACULDADE DE COMUNICAÇÃO PITÁGORAS UNIDADE GUARAPARI,PIT GUARAPARI,GUARAPARI,ES,Privada,Faculdade
267,FACULDADES INTEGRADAS ESPÍRITO SANTENSES,FAESA I,VITORIA,ES,Privada,Faculdade
2630,INSTITUTO SUPERIOR DE EDUCAÇÃO DO VALE DO JURUENA,AJES,JUINA,MT,Privada,Faculdade
34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,SAO PAULO,SP,Pública,Faculdade
1080,FACULDADE ARTHUR SÁ EARP NETO,FASE,PETROPOLIS,RJ,Privada,Faculdade
1317,FACULDADE SUDOESTE PAULISTA,FSP,AVARE,SP,Privada,Faculdade
715,FAE CENTRO UNIVERSITÁRIO,FAE,CURITIBA,PR,Privada,Centro Universitário
15682,FACULDADE DE TECNOLOGIA DE PIRACICABA,Fatec Piracicaba,PIRACICABA,SP,Pública,Faculdade
1327,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE,ESPM - POA,PORTO ALEGRE,RS,Privada,Faculdade
5285,FACULDADES INTEGRADAS DE TAQUARA,FACCAT,TAQUARA,RS,Privada,Faculdade
490,CENTRO DE ENSINO SUPERIOR DE VALENÇA,CESVA,VALENCA,RJ,Privada,Faculdade
4518,FACULDADE REGIONAL PALMITOS,FAP,PALMITOS,SC,Privada,Faculdade
1895,CENTRO UNIVERSITÁRIO CHRISTUS,UNICHRISTUS,FORTALEZA,CE,Privada,Centro Universitário
59,FACULDADE DE DIREITO DE FRANCA,FDF,FRANCA,SP,Pública,Faculdade
2126,ESCOLA DE DIREITO DO RIO DE JANEIRO,DIREITO RIO,RIO DE JANEIRO,RJ,Privada,Faculdade
1439,FACULDADE DE CIÊNCIAS ECONÔMICAS,FACAMP,CAMPINAS,SP,Privada,Faculdade
1090,FACULDADE SÃO LUÍS DE FRANÇA,FSLF,ARACAJU,SE,Privada,Faculdade
544,FACULDADE DE CIÊNCIAS HUMANAS DE ITABIRA,FACHI,ITABIRA,MG,Privada,Faculdade
589,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,MOSSORO,RN,Pública,Universidade
1710,FACULDADE DE NEGÓCIOS E TECNOLOGIAS DA INFORMAÇÃO,FACNET,BRASILIA,DF,Privada,Faculdade
2849,ESCOLA SUPERIOR DOM HELDER CÂMARA,ESDHC,BELO HORIZONTE,MG,Privada,Faculdade
2552,INSTITUTO SUPERIOR DE CIÊNCIAS DA SAÚDE,INCISA,BELO HORIZONTE,MG,Privada,Faculdade
976,FACULDADES INTEGRADAS DE PONTA PORÃ,FIP,PONTA PORA,MS,Privada,Faculdade
3509,FACULDADE VICENTINA - FAVI,FAVI,CURITIBA,PR,Privada,Faculdade
1697,FACULDADE ESCRITOR OSMAN DA COSTA LINS,FACOL,"VITORIA DE SANTOANTAO",PE,Privada,Faculdade
3688,FACULDADES INTEGRADAS DO VALE DO IVAÍ,,IVAIPORA,PR,Privada,Faculdade
2730,FACULDADE UNIDA DA PARAÍBA,UNPB,JOAO PESSOA,PB,Privada,Faculdade
3388,FACULDADE PARAÍSO DO CEARÁ,FAP,"JUAZEIRO DONORTE",CE,Privada,Faculdade
1538,FACULDADE PROJEÇÃO,FAPRO,BRASILIA,DF,Privada,Faculdade
1802,FACULDADE DE CIÊNCIAS DA SAÚDE,FASU,GARCA,SP,Privada,Faculdade
165,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,RIO DE JANEIRO,RJ,Privada,Universidade
23,UNIVERSIDADE FEEVALE,FEEVALE,NOVO HAMBURGO,RS,Privada,Universidade
2774,CENTRO UNIVERSITÁRIO UNIFAFIBE,FAFIBE,BEBEDOURO,SP,Privada,Centro Universitário
1558,FACULDADE COMUNITÁRIA DE JOÃO MONLEVADE,FCJM,JOAO MONLEVADE,MG,Privada,Faculdade
910,FACULDADE SANTA LÚCIA,FCACSL,MOGI-MIRIM,SP,Privada,Faculdade
15784,FACULDADE DE TECNOLOGIA ESTUDANTE RAFAEL ALMEIDA CAMARINHA - MARILIA,Fatec Marilia,MARILIA,SP,Pública,Faculdade
3529,CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA,UNIVEM,MARILIA,SP,Privada,Centro Universitário
1731,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,,"PRIMAVERA DOLESTE",MT,Privada,Faculdade
5016,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,"FAETERJ R DEJANEIRO",RIO DE JANEIRO,RJ,Pública,Faculdade
724,CENTRO UNIVERSITÁRIO FACEX,UNIFACEX,NATAL,RN,Privada,Centro Universitário
4218,FACULDADE PEDRO LEOPOLDO,FPL,PEDRO LEOPOLDO,MG,Privada,Faculdade
2511,FACULDADE DE DIREITO UNIDADE GUARAPARI,FADIG,GUARAPARI,ES,Privada,Faculdade
673,CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS,UNIGRAN,DOURADOS,MS,Privada,Centro Universitário
2462,FACULDADE SÃO LUÍS,FSL,BRUSQUE,SC,Privada,Faculdade
4126,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS E DE TECNOLOGIAS DE AGUA BOA,FACESA,AGUA BOA,MT,Privada,Faculdade
3192,INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAJAZEIRAS,ISEC,CAJAZEIRAS,PB,Privada,Faculdade
1496,FACULDADE ESTÁCIO DE SÁ DE VILA VELHA,FESVV,VILA VELHA,ES,Privada,Faculdade
4023,FACULDADE DE TECNOLOGIA DE MAUÁ,FATEC MAUÁ,MAUA,SP,Pública,Faculdade
1430,FACULDADE INGÁ,,MARINGA,PR,Privada,Faculdade
1303,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF Goiano,GOIANIA,GO,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
2206,FACULDADE FAE SÃO JOSÉ DOS PINHAIS,,"SAO JOSE DOPINHAIS",PR,Privada,Faculdade
489,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,UNIFOA,VOLTA REDONDA,RJ,Privada,Centro Universitário
2640,FACULDADE COMUNITÁRIA DE SAÚDE DA SERRA,FCSS,SERRA,ES,Privada,Faculdade
1587,FACULDADES INTEGRADAS DE TANGARÁ DA SERRA,FITS,TANGARA DA SERRA,MT,Privada,Faculdade
2576,FACULDADES PITÁGORAS UNIDADE GUARAPARI,FIPAG,GUARAPARI,ES,Privada,Faculdade
295,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,"SANTA CRUZ DOSUL",RS,Privada,Universidade
448,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,PORTO ALEGRE,RS,Privada,Centro Universitário
2821,FACULDADE IDC,IDC,PORTO ALEGRE,RS,Privada,Faculdade
15752,FACULDADE DE TECNOLOGIA DE GUARULHOS,FATEC GR,GUARULHOS,SP,Pública,Faculdade
845,FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA,FAC-FEA,ARACATUBA,SP,Privada,Faculdade
12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RIO GRANDE,RS,Pública,Universidade
3223,ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE,ESCS,BRASILIA,DF,Pública,Faculdade
4567,FACULDADE CENTRO MATO-GROSSENSE,,SORRISO,MT,Privada,Faculdade
5663,FACULDADE DE VARGEM GRANDE PAULISTA,,"VARGEM GRANDEPAULISTA",SP,Privada,Faculdade
135,CENTRO UNIVERSITÁRIO CLARETIANO,CEUCLAR,BATATAIS,SP,Privada,Centro Universitário
1182,INSTITUTO DE ENSINO SUPERIOR DE AMERICANA,IESA,AMERICANA,SP,Privada,Faculdade
1927,FACULDADES INTEGRADAS DO VALE DO IGUAÇU,,UNIAO DA VITORIA,PR,Privada,Faculdade
1244,FACULDADE BRASILEIRA,MULTIVIX VITÓRIA,VITORIA,ES,Privada,Faculdade
1093,FACULDADE DE CIÊNCIAS JURÍDICAS E GERENCIAIS DE GARÇA,FAEG,GARCA,SP,Privada,Faculdade
137,UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,BAURU,SP,Privada,Universidade
3165,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO",,UBERABA,MG,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
1752,FACULDADE AUTÔNOMA DE DIREITO,FADISP,SAO PAULO,SP,Privada,Faculdade
997,CENTRO UNIVERSITÁRIO DE BAURU,,BAURU,SP,Privada,Centro Universitário
1042,UNIVERSIDADE POSITIVO,UP,CURITIBA,PR,Privada,Universidade
4700,FACULDADE NOVA ROMA,FNR,RECIFE,PE,Privada,Faculdade
1423,FACULDADE IDEAL,FACI,BELEM,PA,Privada,Faculdade
